id,first_name,second_name,position,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
1,David,Ospina,GK,0,0,2,143,4,0.0,28.8,0,0,18,2.9,0,0,0,0.2
2,Petr,Cech,GK,0,0,134,3097,37,0.1,819.8,0,2,660,82.0,12,0,2,13.7
3,Laurent,Koscielny,DEF,2,1,121,2821,37,53.9,831.2,239,19,723,112.7,10,1,4,11.2
4,Per,Mertesacker,DEF,0,0,1,38,1,0.1,17.8,0,0,5,1.8,0,0,0,0.2
5,Gabriel Armando,de Abreu,DEF,0,0,45,1517,18,84.5,295.8,119,2,296,50.0,5,0,6,0.8
6,Héctor,Bellerín,DEF,1,5,119,2503,34,508.3,437.6,395,12,569,133.8,10,0,4,13.9
7,Kieran,Gibbs,DEF,0,1,45,702,3,171.4,142.4,117,3,201,43.1,6,0,3,1.7
8,Mathieu,Debuchy,DEF,0,0,1,15,0,1.4,1.0,0,0,2,0.2,0,0,0,0.2
9,Carl,Jenkinson,DEF,0,0,2,82,1,2.0,19.4,0,0,12,2.1,0,0,0,0.1
10,Nacho,Monreal,DEF,0,3,115,3153,43,280.3,554.0,220,9,681,105.8,11,0,5,6.4
11,Calum,Chambers,DEF,2,1,83,2250,37,107.0,692.2,80,7,499,88.0,7,0,4,3.4
12,Alexis,Sánchez,MID,24,11,264,3217,41,1278.3,1357.8,1896,32,834,453.4,13,0,6,29.7
13,Theo,Walcott,MID,10,3,122,1916,26,280.5,541.8,1023,7,380,184.1,8,0,1,4.2
14,Mesut,Özil,MID,8,11,167,2841,30,1649.3,834.4,734,19,729,322.0,12,0,2,7.5
15,Santiago,Cazorla,MID,2,2,38,618,5,221.7,198.2,89,5,159,50.8,4,0,2,1.4
16,Aaron,Ramsey,MID,1,4,56,1236,20,361.2,257.2,496,3,240,111.3,4,0,3,1.1
17,Jack,Wilshere,MID,0,3,61,1950,45,544.4,308.4,321,2,312,116.8,5,0,4,0.5
18,Alex,Oxlade-Chamberlain,MID,2,7,83,1564,22,519.9,435.4,416,3,393,137.5,4,0,1,1.4
19,Serge,Gnabry,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
